Country,Year,City,Gold ,Silver,Bronze,Weighted Count, Population ,"Total medals per 100,000 pop","Weighted count per 100,000 pop","Gold per 100,000 pop",GDP per capita,GDP
Portugal,1/01/1952,Helsinki,0,0,1,1,8475340,0.0117989,0.0117989,0.0000000,3068.32," 26,005,054,099 "
South Korea,1/01/1952,Helsinki,0,0,2,2,19566709,0.0102214,0.0102214,0.0000000,736.17," 14,404,394,735 "
Brazil,1/01/1952,Helsinki,1,0,2,5,57422674,0.0052244,0.0087074,0.0017415,2108.94," 121,101,224,178 "
Spain,1/01/1952,Helsinki,0,1,0,2,28427994,0.0035177,0.0070353,0.0000000,3834.03," 108,993,916,642 "
Mexico,1/01/1952,Helsinki,0,1,0,2,29465877,0.0033938,0.0067875,0.0000000,3478.13," 102,486,019,023 "
Egypt,1/01/1952,Helsinki,0,0,1,1,22607727,0.0044233,0.0044233,0.0000000,1418.82," 32,076,350,502 "
India,1/01/1952,Helsinki,1,0,1,4,384822769,0.0005197,0.0010394,0.0002599,588.15," 226,332,908,140 "
Iceland,1/01/1956,Melbourne,0,1,0,2,161597,0.6188234,1.2376467,0.0000000,9489.02," 1,533,397,828 "
Bahamas,1/01/1956,Melbourne,0,0,1,1,91890,1.0882577,1.0882577,0.0000000,-, - 
Australia,1/01/1956,Melbourne,13,8,14,69,9419635,0.3715643,0.7325125,0.1380096,10974.13," 103,372,283,661 "
Sweden,1/01/1956,Melbourne,8,5,6,40,7303942,0.2601335,0.5476495,0.1095299,10407.08," 76,012,726,180 "
Hungary,1/01/1956,Melbourne,9,10,7,54,9868650,0.2634606,0.5471873,0.0911979,5537.72," 54,649,843,913 "
Finland,1/01/1956,Melbourne,3,1,11,22,4278702,0.3505736,0.5141746,0.0701147,7277.78," 31,139,469,632 "
Ireland,1/01/1956,Melbourne,1,1,3,8,2884992,0.1733107,0.2772971,0.0346621,5574.54," 16,082,495,128 "
New Zealand,1/01/1956,Melbourne,2,0,0,6,2182946,0.0916193,0.2748579,0.0916193,12186.70," 26,602,914,038 "
Denmark,1/01/1956,Melbourne,1,2,1,8,4466552,0.0895545,0.1791091,0.0223886,9715.12," 43,393,103,515 "
Romania,1/01/1956,Melbourne,5,3,5,26,17687296,0.0734991,0.1469982,0.0282689,3829.44," 67,732,433,223 "
Norway,1/01/1956,Melbourne,1,0,2,5,3458366,0.0867462,0.1445769,0.0289154,10399.98," 35,966,943,551 "
Bulgaria,1/01/1956,Melbourne,1,3,1,10,7568951,0.0660594,0.1321187,0.0132119,2747.38," 20,794,768,925 "
Italy,1/01/1956,Melbourne,8,8,9,49,48401893,0.0516509,0.1012357,0.0165283,5958.25," 288,390,694,697 "
Soviet Union,1/01/1956,Melbourne,37,29,32,201,199102595,0.0492209,0.1009530,0.0185834,-, - 
United States,1/01/1956,Melbourne,32,25,17,163,174211875,0.0424770,0.0935642,0.0183684,17783.27," 3,098,057,159,552 "
Czechoslovakia,1/01/1956,Melbourne,1,4,1,12,13229151,0.0453544,0.0907088,0.0075591,-, - 
Chile,1/01/1956,Melbourne,0,2,2,6,6931486,0.0577077,0.0865615,0.0000000,4004.52," 27,757,288,583 "
Britain,1/01/1956,Melbourne,6,7,11,43,51404774,0.0466883,0.0836498,0.0116721,11158.95," 573,623,395,651 "
United Team of Germany,1/01/1956,Melbourne,6,13,7,51,70769436,0.0367390,0.0720650,0.0084782,9692.61," 685,940,432,466 "
Canada,1/01/1956,Melbourne,2,1,3,11,16174093,0.0370964,0.0680100,0.0123655,12555.55," 203,074,624,725 "
France,1/01/1956,Melbourne,4,4,6,26,43831475,0.0319405,0.0593181,0.0091259,8786.31," 385,116,834,382 "
Turkey,1/01/1956,Melbourne,3,2,2,15,25290730,0.0276781,0.0593103,0.0118621,2523.46," 63,820,107,474 "
Iran,1/01/1956,Melbourne,2,2,1,11,19904579,0.0251198,0.0552637,0.0100479,2684.96," 53,442,942,884 "
Poland,1/01/1956,Melbourne,1,4,4,15,27650608,0.0325490,0.0542484,0.0036166,4576.69," 126,548,188,609 "
Belgium,1/01/1956,Melbourne,0,2,0,4,8922420,0.0224154,0.0448309,0.0000000,9529.40," 85,025,341,205 "
Uruguay,1/01/1956,Melbourne,0,0,1,1,2403897,0.0415991,0.0415991,0.0000000,6182.26," 14,861,505,306 "
Japan,1/01/1956,Melbourne,4,10,5,37,89261611,0.0212857,0.0414512,0.0044812,4058.84," 362,298,424,863 "
Yugoslavia,1/01/1956,Melbourne,0,3,0,6,17507629,0.0171354,0.0342708,0.0000000,-, - 
Austria,1/01/1956,Melbourne,0,0,2,2,6954658,0.0287577,0.0287577,0.0000000,8348.45," 58,060,610,856 "
South Africa,1/01/1956,Melbourne,0,0,4,4,15759932,0.0253808,0.0253808,0.0000000,5370.01," 84,630,973,352 "
Switzerland,1/01/1956,Melbourne,0,0,1,1,5026644,0.0198940,0.0198940,0.0000000,17501.93," 87,975,981,296 "
Argentina,1/01/1956,Melbourne,0,1,1,3,19276813,0.0103752,0.0155627,0.0000000,6630.03," 127,805,933,325 "
South Korea,1/01/1956,Melbourne,0,1,1,3,21897498,0.0091335,0.0137002,0.0000000,1038.59," 22,742,570,189 "
Greece,1/01/1956,Melbourne,0,0,1,1,8046802,0.0124273,0.0124273,0.0000000,4333.64," 34,871,958,065 "
Mexico,1/01/1956,Melbourne,1,0,1,4,33599909,0.0059524,0.0119048,0.0029762,3953.72," 132,844,776,369 "
Pakistan,1/01/1956,Melbourne,0,1,0,2,41973583,0.0023825,0.0047649,0.0000000,733.80," 30,800,108,013 "
Brazil,1/01/1956,Melbourne,1,0,0,3,64748101,0.0015444,0.0046333,0.0015444,2376.50," 153,873,943,643 "
India,1/01/1956,Melbourne,1,0,0,3,414120476,0.0002415,0.0007244,0.0002415,651.12," 269,643,973,770 "
British West Indies,1/01/1960,Rome,0,0,2,2,-,-,-,-,-, - 
Australia,1/01/1960,Rome,8,8,6,46,10286184,0.2138791,0.4472018,0.0777742,11897.96," 122,384,644,098 "
Hungary,1/01/1960,Rome,6,8,7,41,9982612,0.2103658,0.4107141,0.0601045,6954.29," 69,421,994,535 "
New Zealand,1/01/1960,Rome,2,0,1,7,2372000,0.1264755,0.2951096,0.0843170,12816.33," 30,400,335,607 "
Denmark,1/01/1960,Rome,2,3,1,13,4579770,0.1310109,0.2838570,0.0436703,11569.48," 52,985,539,245 "
Finland,1/01/1960,Rome,1,1,3,8,4430001,0.1128668,0.1805869,0.0225734,8562.87," 37,933,537,275 "
Switzerland,1/01/1960,Rome,0,3,3,9,5296052,0.1132919,0.1699379,0.0000000,19059.01," 100,937,482,496 "
Bulgaria,1/01/1960,Rome,1,3,3,12,7867008,0.0889792,0.1525358,0.0127113,3759.17," 29,573,385,141 "
Italy,1/01/1960,Rome,13,10,13,72,49519312,0.0726989,0.1453978,0.0262524,7314.83," 362,225,387,440 "
Sweden,1/01/1960,Rome,1,2,3,10,7480001,0.0802139,0.1336898,0.0133690,11951.97," 89,400,742,544 "
Singapore,1/01/1960,Rome,0,1,0,2,1633694,0.0612110,0.1224219,0.0000000,3426.03," 5,597,085,047 "
Poland,1/01/1960,Rome,4,6,11,35,29033001,0.0723315,0.1205525,0.0137774,5137.59," 149,159,761,121 "
Czechoslovakia,1/01/1960,Rome,3,2,3,16,13654088,0.0585905,0.1171810,0.0219714,-, - 
United Team of Germany,1/01/1960,Rome,12,19,11,85,72814899,0.0576805,0.1167344,0.0164801,12091.34," 880,429,841,708 "
Soviet Union,1/01/1960,Rome,43,29,31,218,213779936,0.0481804,0.1019740,0.0201141,-, - 
Romania,1/01/1960,Rome,3,1,6,17,18407002,0.0543272,0.0923562,0.0162981,4349.19," 80,055,490,307 "
Turkey,1/01/1960,Rome,7,2,0,25,28160579,0.0319596,0.0887766,0.0248574,2666.17," 75,080,752,926 "
United States,1/01/1960,Rome,34,21,16,160,186326215,0.0381052,0.0858709,0.0182476,18175.43," 3,386,558,346,291 "
Norway,1/01/1960,Rome,1,0,0,3,3580998,0.0279252,0.0837755,0.0279252,11481.31," 41,114,563,214 "
Austria,1/01/1960,Rome,1,1,0,5,7042634,0.0283985,0.0709962,0.0141992,10083.83," 71,016,724,373 "
Belgium,1/01/1960,Rome,0,2,2,6,9152271,0.0437050,0.0655575,0.0000000,10076.60," 92,223,796,761 "
Britain,1/01/1960,Rome,2,6,12,30,52544356,0.0380631,0.0570946,0.0038063,12167.33," 639,324,675,086 "
Greece,1/01/1960,Rome,1,0,0,3,8333499,0.0119998,0.0359993,0.0119998,5067.26," 42,228,021,709 "
Japan,1/01/1960,Rome,4,7,7,33,92500572,0.0194593,0.0356755,0.0043243,5488.81," 507,717,645,502 "
Netherlands,1/01/1960,Rome,0,1,2,4,11418460,0.0262732,0.0350310,0.0000000,10620.98," 121,275,181,905 "
Ghana,1/01/1960,Rome,0,1,0,2,6742107,0.0148322,0.0296643,0.0000000,1158.85," 7,813,079,964 "
Yugoslavia,1/01/1960,Rome,1,1,0,5,18132522,0.0110299,0.0275748,0.0055150,-, - 
South Africa,1/01/1960,Rome,0,1,2,4,17396477,0.0172449,0.0229932,0.0000000,5545.68," 96,475,305,213 "
Iran,1/01/1960,Rome,0,1,3,5,21999103,0.0181826,0.0227282,0.0000000,3660.18," 80,520,608,016 "
Portugal,1/01/1960,Rome,0,1,0,2,8882954,0.0112575,0.0225150,0.0000000,4196.15," 37,274,171,517 "
Taiwan,1/01/1960,Rome,0,1,0,2,11209000,0.0089214,0.0178428,0.0000000,1983.67," 22,234,914,885 "
Morocco,1/01/1960,Rome,0,1,0,2,11625999,0.0086014,0.0172028,0.0000000,1536.62," 17,864,722,792 "
France,1/01/1960,Rome,0,2,3,7,45688594,0.0109437,0.0153211,0.0000000,10244.42," 468,053,179,115 "
Argentina,1/01/1960,Rome,0,1,1,3,20625451,0.0096968,0.0145451,0.0000000,6984.76," 144,063,736,855 "
Iraq,1/01/1960,Rome,0,0,1,1,7379922,0.0135503,0.0135503,0.0000000,7086.01," 52,294,180,540 "
Ethiopia,1/01/1960,Rome,1,0,0,3,22553350,0.0044339,0.0133018,0.0044339,399.45," 9,008,849,911 "
Venezuela,1/01/1960,Rome,0,0,1,1,7562108,0.0132238,0.0132238,0.0000000,8714.11," 65,897,043,730 "
Canada,1/01/1960,Rome,0,1,0,2,17909009,0.0055838,0.0111676,0.0000000,12701.48," 227,470,975,549 "
Egypt,1/01/1960,Rome,0,1,1,3,27903093,0.0071677,0.0107515,0.0000000,1562.96," 43,611,396,921 "
Pakistan,1/01/1960,Rome,1,0,1,4,45920204,0.0043554,0.0087108,0.0021777,744.18," 34,172,887,961 "
Spain,1/01/1960,Rome,0,0,1,1,30413044,0.0032881,0.0032881,0.0000000,4603.07," 139,993,296,538 "
Brazil,1/01/1960,Rome,0,0,2,2,72758801,0.0027488,0.0027488,0.0000000,3044.13," 221,487,135,615 "
Mexico,1/01/1960,Rome,0,0,1,1,38418829,0.0026029,0.0026029,0.0000000,4433.09," 170,313,949,301 "
India,1/01/1960,Rome,0,1,0,2,447844159,0.0002233,0.0004466,0.0000000,696.10," 311,743,997,163 "
Bahamas,1/01/1964,Tokyo,1,0,0,3,133709,0.7478928,2.2436784,0.7478928,16708.02," 2,234,012,672 "
Hungary,1/01/1964,Tokyo,10,7,5,49,10107595,0.2176581,0.4847840,0.0989355,8362.48," 84,524,534,744 "
Trinidad and Tobago,1/01/1964,Tokyo,0,1,2,4,883421,0.3395889,0.4527853,0.0000000,5217.56," 4,609,302,615 "
New Zealand,1/01/1964,Tokyo,3,0,2,11,2581577,0.1936801,0.4260961,0.1162080,14107.05," 36,418,447,927 "
Australia,1/01/1964,Tokyo,6,2,10,32,11122567,0.1618331,0.2877034,0.0539444,13329.90," 148,262,675,404 "
Bulgaria,1/01/1964,Tokyo,3,5,2,21,8140705,0.1228395,0.2579629,0.0368518,4721.86," 38,439,301,126 "
Finland,1/01/1964,Tokyo,3,0,2,11,4545748,0.1099929,0.2419844,0.0659957,10042.22," 45,649,398,290 "
Denmark,1/01/1964,Tokyo,2,1,3,11,4722383,0.1270545,0.2329332,0.0423515,13937.78," 65,819,536,163 "
Czechoslovakia,1/01/1964,Tokyo,5,6,3,30,14052204,0.0996285,0.2134896,0.0355816,-, - 
Sweden,1/01/1964,Tokyo,2,2,4,14,7676568,0.1042132,0.1823732,0.0260533,14703.36," 112,871,357,425 "
Netherlands,1/01/1964,Tokyo,2,4,4,18,12055386,0.0829505,0.1493109,0.0165901,12287.88," 148,135,111,757 "
Poland,1/01/1964,Tokyo,7,6,10,43,30740557,0.0748197,0.1398804,0.0227712,5788.41," 177,938,801,301 "
Switzerland,1/01/1964,Tokyo,1,2,1,8,5729362,0.0698158,0.1396316,0.0174540,21712.09," 124,396,449,370 "
United Team of Germany,1/01/1964,Tokyo,10,22,18,92,75363329,0.0663453,0.1220753,0.0132691,13844.37," 1,043,357,750,688 "
Italy,1/01/1964,Tokyo,10,10,7,57,51054762,0.0528844,0.1116448,0.0195868,8821.60," 450,384,527,176 "
Romania,1/01/1964,Tokyo,2,4,6,20,18870340,0.0635919,0.1059864,0.0105986,5326.92," 100,520,714,773 "
United States,1/01/1964,Tokyo,36,26,28,188,197094531,0.0456634,0.0953857,0.0182653,20243.98," 3,989,977,497,746 "
Soviet Union,1/01/1964,Tokyo,30,31,35,187,227697970,0.0421611,0.0821263,0.0131753,-, - 
Belgium,1/01/1964,Tokyo,2,0,1,7,9384939,0.0319661,0.0745876,0.0213107,12089.41," 113,458,369,956 "
Britain,1/01/1964,Tokyo,4,12,2,38,54006245,0.0333295,0.0703622,0.0074066,13465.99," 727,247,754,563 "
Japan,1/01/1964,Tokyo,16,5,8,66,96253698,0.0301287,0.0685688,0.0166227,7803.68," 751,133,149,780 "
Tunisia,1/01/1964,Tokyo,0,1,1,3,4541457,0.0440387,0.0660581,0.0000000,1912.76," 8,686,732,671 "
Yugoslavia,1/01/1964,Tokyo,2,1,2,10,18852368,0.0265219,0.0530437,0.0106087,-, - 
France,1/01/1964,Tokyo,1,8,6,25,48194218,0.0311241,0.0518734,0.0020749,12197.97," 587,871,404,831 "
Turkey,1/01/1964,Tokyo,2,3,1,13,31109820,0.0192865,0.0417874,0.0064288,2919.57," 90,827,376,604 "
Canada,1/01/1964,Tokyo,1,2,1,8,19309343,0.0207154,0.0414307,0.0051788,14510.90," 280,195,932,444 "
Uruguay,1/01/1964,Tokyo,0,0,1,1,2664775,0.0375266,0.0375266,0.0000000,5603.15," 14,931,126,890 "
Ireland,1/01/1964,Tokyo,0,0,1,1,2860976,0.0349531,0.0349531,0.0000000,7131.74," 20,403,738,180 "
Cuba,1/01/1964,Tokyo,0,1,0,2,7777606,0.0128574,0.0257149,0.0000000,5087.17," 39,566,000,828 "
South Korea,1/01/1964,Tokyo,0,2,1,5,27772698,0.0108020,0.0180033,0.0000000,1321.71," 36,707,315,242 "
Ghana,1/01/1964,Tokyo,0,0,1,1,7610752,0.0131393,0.0131393,0.0000000,1189.01," 9,049,257,545 "
Ethiopia,1/01/1964,Tokyo,1,0,0,3,24846785,0.0040247,0.0120740,0.0040247,478.77," 11,895,880,722 "
Kenya,1/01/1964,Tokyo,0,0,1,1,9200107,0.0108694,0.0108694,0.0000000,970.14," 8,925,393,595 "
Argentina,1/01/1964,Tokyo,0,1,0,2,21966478,0.0045524,0.0091048,0.0000000,7452.89," 163,713,644,304 "
Iran,1/01/1964,Tokyo,0,0,2,2,24408927,0.0081937,0.0081937,0.0000000,4320.58," 105,460,787,473 "
Philippines,1/01/1964,Tokyo,0,1,0,2,29664173,0.0033711,0.0067421,0.0000000,1717.62," 50,951,833,965 "
Pakistan,1/01/1964,Tokyo,0,1,0,2,50678979,0.0019732,0.0039464,0.0000000,870.84," 44,133,471,685 "
Mexico,1/01/1964,Tokyo,0,0,1,1,43574687,0.0022949,0.0022949,0.0000000,5213.60," 227,181,051,077 "
Nigeria,1/01/1964,Tokyo,0,0,1,1,50079946,0.0019968,0.0019968,0.0000000,1251.08," 62,654,207,672 "
Brazil,1/01/1964,Tokyo,0,0,1,1,82021855,0.0012192,0.0012192,0.0000000,3277.01," 268,786,060,284 "
India,1/01/1964,Tokyo,1,0,0,3,486038945,0.0002057,0.0006172,0.0002057,754.73," 366,829,358,157 "
East Germany,1/01/1968,Mexico City,9,9,7,52,-,-,-,-,-, - 
West Germany,1/01/1968,Mexico City,5,11,10,47,-,-,-,-,-, - 
Hungary,1/01/1968,Mexico City,10,10,12,62,10241753,0.3124465,0.6053651,0.0976395,9403.18," 96,305,087,933 "
Mongolia,1/01/1968,Mexico City,0,1,3,5,1209647,0.3306750,0.4133437,0.0000000,1262.52," 1,527,202,196 "
Denmark,1/01/1968,Mexico City,1,4,3,14,4863983,0.1644743,0.2878300,0.0205593,15706.49," 76,396,111,371 "
Australia,1/01/1968,Mexico City,5,7,5,34,12175746,0.1396218,0.2792437,0.0410652,15088.56," 183,714,454,104 "
Bulgaria,1/01/1968,Mexico City,2,4,3,17,8381450,0.1073800,0.2028289,0.0238622,5639.35," 47,265,902,830 "
Czechoslovakia,1/01/1968,Mexico City,7,2,4,29,14322641,0.0907654,0.2024766,0.0488737,-, - 
New Zealand,1/01/1968,Mexico City,1,0,2,5,2738299,0.1095571,0.1825951,0.0365190,14279.12," 39,100,507,932 "
Kenya,1/01/1968,Mexico City,3,4,2,19,10502123,0.0856970,0.1809158,0.0285657,1096.54," 11,516,010,643 "
Finland,1/01/1968,Mexico City,1,2,1,8,4588404,0.0871763,0.1743526,0.0217941,11122.84," 51,036,096,544 "
Romania,1/01/1968,Mexico City,4,6,5,29,19744551,0.0759703,0.1468760,0.0202588,6461.50," 127,579,413,940 "
Norway,1/01/1968,Mexico City,1,1,0,5,3816102,0.0524095,0.1310238,0.0262048,15456.44," 58,983,361,372 "
Netherlands,1/01/1968,Mexico City,3,3,1,16,12670558,0.0552462,0.1262770,0.0236769,14442.49," 182,994,356,922 "
Sweden,1/01/1968,Mexico City,2,1,1,9,7929066,0.0504473,0.1135064,0.0252237,16732.00," 132,669,097,295 "
Jamaica,1/01/1968,Mexico City,0,1,0,2,1824153,0.0548200,0.1096399,0.0000000,6328.34," 11,543,859,643 "
United States,1/01/1968,Mexico City,45,28,34,225,205672498,0.0520245,0.1093972,0.0218794,23268.21," 4,785,631,736,382 "
Switzerland,1/01/1968,Mexico City,0,1,4,6,6056165,0.0825605,0.0990726,0.0000000,23522.13," 142,453,905,780 "
Cuba,1/01/1968,Mexico City,0,4,0,8,8401476,0.0476107,0.0952214,0.0000000,5265.77," 44,240,202,081 "
Poland,1/01/1968,Mexico City,5,2,11,30,32008949,0.0562343,0.0937238,0.0156206,6900.04," 220,862,961,133 "
Yugoslavia,1/01/1968,Mexico City,3,3,2,17,19552190,0.0409161,0.0869468,0.0153435,-, - 
Tunisia,1/01/1968,Mexico City,1,0,1,4,4923201,0.0406240,0.0812480,0.0203120,2088.68," 10,283,013,868 "
Austria,1/01/1968,Mexico City,0,2,2,6,7394601,0.0540935,0.0811403,0.0000000,13335.56," 98,611,123,354 "
Soviet Union,1/01/1968,Mexico City,29,32,30,181,237983436,0.0382380,0.0760557,0.0121857,-, - 
France,1/01/1968,Mexico City,7,3,5,32,50026522,0.0299841,0.0639661,0.0139926,14146.15," 707,682,614,030 "
Japan,1/01/1968,Mexico City,11,7,7,54,100990902,0.0247547,0.0534702,0.0108921,10992.00," 1,110,091,590,036 "
Britain,1/01/1968,Mexico City,5,5,3,28,55212835,0.0235452,0.0507128,0.0090559,14651.01," 808,923,651,966 "
Italy,1/01/1968,Mexico City,3,4,9,26,52584254,0.0304274,0.0494445,0.0057051,10694.07," 562,339,946,366 "
Canada,1/01/1968,Mexico City,1,3,1,10,20931716,0.0238872,0.0477744,0.0047774,16658.21," 348,684,989,493 "
Iran,1/01/1968,Mexico City,2,1,2,10,27173692,0.0184001,0.0368003,0.0073601,6118.78," 166,269,969,053 "
Mexico,1/01/1968,Mexico City,3,3,3,18,48943844,0.0183884,0.0367768,0.0061295,6036.64," 295,456,395,202 "
Uganda,1/01/1968,Mexico City,0,1,1,3,8866641,0.0225565,0.0338347,0.0000000,904.60," 8,020,731,009 "
Belgium,1/01/1968,Mexico City,0,1,1,3,9555402,0.0209306,0.0313959,0.0000000,13647.20," 130,404,444,848 "
Cameroon,1/01/1968,Mexico City,0,1,0,2,6503500,0.0153763,0.0307527,0.0000000,1575.87," 10,248,681,934 "
Venezuela,1/01/1968,Mexico City,1,0,0,3,10003238,0.0099968,0.0299903,0.0099968,9904.46," 99,076,655,306 "
Ethiopia,1/01/1968,Mexico City,1,1,0,5,27476546,0.0072789,0.0181973,0.0036395,514.00," 14,122,950,502 "
Turkey,1/01/1968,Mexico City,2,0,0,6,33982141,0.0058854,0.0176563,0.0058854,3363.34," 114,293,451,424 "
Greece,1/01/1968,Mexico City,0,0,1,1,8697173,0.0114980,0.0114980,0.0000000,8581.63," 74,635,931,977 "
South Korea,1/01/1968,Mexico City,0,1,1,3,30208614,0.0066206,0.0099309,0.0000000,1767.77," 53,401,919,698 "
Argentina,1/01/1968,Mexico City,0,0,2,2,23273148,0.0085936,0.0085936,0.0000000,8284.39," 192,803,863,150 "
Taiwan,1/01/1968,Mexico City,0,0,1,1,13962000,0.0071623,0.0071623,0.0000000,3243.56," 45,286,560,624 "
Pakistan,1/01/1968,Mexico City,1,0,0,3,56257610,0.0017775,0.0053326,0.0017775,981.75," 55,231,178,307 "
Brazil,1/01/1968,Mexico City,0,1,2,4,91394916,0.0032825,0.0043766,0.0000000,3666.98," 335,143,171,123 "
India,1/01/1968,Mexico City,0,0,1,1,529658233,0.0001888,0.0001888,0.0000000,739.12," 391,479,993,790 "
West Germany,1/01/1972,Munich,13,11,16,77,-,-,-,-,-, - 
East Germany,1/01/1972,Munich,20,23,23,129,16890000,0.3907638,0.7637655,0.1184133,-, - 
Hungary,1/01/1972,Munich,6,13,16,60,10393745,0.3367410,0.5772703,0.0577270,10168.66," 105,690,418,645 "
Bulgaria,1/01/1972,Munich,6,10,5,43,8590839,0.2444464,0.5005332,0.0698418,6597.49," 56,678,012,181 "
Sweden,1/01/1972,Munich,4,6,6,30,8117863,0.1970962,0.3695554,0.0492741,18723.04," 151,991,112,358 "
Finland,1/01/1972,Munich,3,1,4,15,4644371,0.1722515,0.3229716,0.0645943,14358.88," 66,687,946,817 "
Australia,1/01/1972,Munich,8,7,2,40,13236895,0.1284289,0.3021857,0.0604371,16788.63," 222,229,325,673 "
Norway,1/01/1972,Munich,2,1,1,9,3934529,0.1016640,0.2287440,0.0508320,17809.80," 70,073,167,412 "
New Zealand,1/01/1972,Munich,1,1,1,6,2930577,0.1023689,0.2047378,0.0341230,16046.04," 47,024,147,806 "
Cuba,1/01/1972,Munich,3,1,4,15,9010586,0.0887845,0.1664709,0.0332942,5305.45," 47,805,170,749 "
Mongolia,1/01/1972,Munich,0,1,0,2,1359478,0.0735576,0.1471153,0.0000000,1421.74," 1,932,826,936 "
Romania,1/01/1972,Munich,3,6,7,28,20674980,0.0773882,0.1354294,0.0145103,8011.41," 165,635,832,526 "
Kenya,1/01/1972,Munich,2,3,4,16,12082989,0.0744849,0.1324176,0.0165522,1222.36," 14,769,762,047 "
Poland,1/01/1972,Munich,7,5,9,40,33084382,0.0634741,0.1209030,0.0211580,8006.51," 264,890,335,852 "
Czechoslovakia,1/01/1972,Munich,2,4,2,16,14455591,0.0553419,0.1106838,0.0138355,-, - 
Switzerland,1/01/1972,Munich,0,3,0,6,6269871,0.0478479,0.0956957,0.0000000,27195.11," 170,509,850,606 "
Soviet Union,1/01/1972,Munich,50,27,22,226,247343292,0.0400253,0.0913710,0.0202148,-, - 
Netherlands,1/01/1972,Munich,3,1,1,12,13231426,0.0377888,0.0906932,0.0226733,16935.57," 224,081,777,403 "
United States,1/01/1972,Munich,33,31,30,191,213250350,0.0440796,0.0895661,0.0154748,24654.04," 5,257,481,618,056 "
Lebanon,1/01/1972,Munich,0,1,0,2,2597588,0.0384973,0.0769945,0.0000000,7486.38," 19,446,542,126 "
Denmark,1/01/1972,Munich,1,0,0,3,4987806,0.0200489,0.0601467,0.0200489,18059.78," 90,078,666,939 "
Japan,1/01/1972,Munich,13,8,8,63,106619818,0.0271994,0.0590885,0.0121929,14778.79," 1,575,711,512,416 "
Italy,1/01/1972,Munich,5,3,10,31,54074032,0.0332877,0.0573288,0.0092466,12269.27," 663,449,103,123 "
Britain,1/01/1972,Munich,4,5,9,31,55964697,0.0321631,0.0553921,0.0071474,15895.12," 889,565,373,800 "
North Korea,1/01/1972,Munich,1,1,3,8,15034521,0.0332568,0.0532109,0.0066514,3002.05," 45,134,400,910 "
Austria,1/01/1972,Munich,0,1,2,4,7526469,0.0398593,0.0531458,0.0000000,16661.63," 125,403,208,571 "
Jamaica,1/01/1972,Munich,0,0,1,1,1924871,0.0519515,0.0519515,0.0000000,7433.89," 14,309,277,917 "
Uganda,1/01/1972,Munich,1,1,0,5,10012125,0.0199758,0.0499394,0.0099879,950.74," 9,518,886,363 "
Yugoslavia,1/01/1972,Munich,2,1,2,10,20197487,0.0247556,0.0495111,-,-, - 
Greece,1/01/1972,Munich,0,2,0,4,8870711,0.0225461,0.0450922,0.0000000,12129.80," 107,599,977,370 "
Belgium,1/01/1972,Munich,0,2,0,4,9696539,0.0206259,0.0412518,0.0000000,16672.14," 161,662,090,262 "
France,1/01/1972,Munich,2,4,7,21,51572812,0.0252071,0.0407191,0.0038780,16840.55," 868,514,733,704 "
Tunisia,1/01/1972,Munich,0,1,0,2,5326668,0.0187735,0.0375469,0.0000000,2753.29," 14,665,840,399 "
Canada,1/01/1972,Munich,0,2,3,7,22344104,0.0223773,0.0313282,0.0000000,18970.57," 423,880,408,231 "
Niger,1/01/1972,Munich,0,0,1,1,4640560,0.0215491,0.0215491,0.0000000,954.21," 4,428,065,214 "
Colombia,1/01/1972,Munich,0,1,2,4,22381887,0.0134037,0.0178716,0.0000000,3264.66," 73,069,252,141 "
Iran,1/01/1972,Munich,0,2,1,5,30197689,0.0099345,0.0165576,0.0000000,8985.00," 271,326,270,148 "
Ghana,1/01/1972,Munich,0,0,1,1,9167822,0.0109077,0.0109077,0.0000000,1178.22," 10,801,745,229 "
Argentina,1/01/1972,Munich,0,1,0,2,24791983,0.0040336,0.0080671,0.0000000,9443.04," 234,111,650,596 "
Ethiopia,1/01/1972,Munich,0,0,2,2,30642920,0.0065268,0.0065268,0.0000000,566.24," 17,351,367,884 "
South Korea,1/01/1972,Munich,0,1,0,2,32766592,0.0030519,0.0061038,0.0000000,2458.07," 80,542,593,906 "
Turkey,1/01/1972,Munich,0,1,0,2,37054168,0.0026988,0.0053975,0.0000000,3879.15," 143,738,691,032 "
Mexico,1/01/1972,Munich,0,1,0,2,55081201,0.0018155,0.0036310,0.0000000,6809.41," 375,070,298,556 "
Pakistan,1/01/1972,Munich,0,1,0,2,62751275,0.0015936,0.0031872,0.0000000,1049.94," 65,885,009,740 "
Spain,1/01/1972,Munich,0,0,1,1,34553119,0.0028941,0.0028941,0.0000000,10638.75," 367,602,039,873 "
Brazil,1/01/1972,Munich,0,0,2,2,100828667,0.0019836,0.0019836,0.0000000,4985.71," 502,702,641,259 "
Nigeria,1/01/1972,Munich,0,0,1,1,60191508,0.0016614,0.0016614,0.0000000,1698.39," 102,228,585,349 "
India,1/01/1972,Munich,0,0,1,1,579871075,0.0001725,0.0001725,0.0000000,757.85," 439,457,873,231 "
East Germany,1/01/1976,Montreal,40,25,25,195,-,-,-,-,-, - 
West Germany,1/01/1976,Montreal,10,12,17,71,-,-,-,-,-, - 
Bermuda,1/01/1976,Montreal,0,0,1,1,54682,1.8287553,1.8287553,0.0000000,44362.80," 2,425,846,624 "
